LONS,LATS,COD_ZC,ZC_NOM
-74.09081185223673,4.588729296714665,001201,SEVILLA
-74.02278551140427,4.759739815927974,008547,LA ESTRELLITA III
-74.04318949884855,4.738560224877715,008519,ESTRELLA DEL NORTE
-74.07406009272724,4.7589180120114625,009246,DELMONTE
-74.04011528061672,4.6841685412273195,008410,ESCUELA DE INFANTERIA
-74.03297452087028,4.68478473061927,008409,ESCUELA DE CABALLERIA I
-74.1436214129527,4.639473177038684,006506,CASTILLA
-74.12156552825131,4.7519927283463685,009250,TIBABUYES OCCIDENTAL
-74.1979288225551,4.647656104682282,105314,EL CORZO RURAL
-74.03447174798028,4.743913093361328,008502,LA PRADERA NORTE
-74.1260365783393,4.7152011793684965,005647,VILLAS DE GRANADA
-74.14053220117451,4.541521163404149,002456,QUIBA I
-74.16183513642378,4.635045725270788,004560,SAUCEDAL
-74.08209823158408,4.559759706354335,001307,RAMAJAL
-74.03288635167681,4.7546578490830536,008529,SAN JOSE DE USAQUEN
-74.06979927206885,4.569012280781997,101302,MOLINO RURAL
-74.07230884005298,4.623090161808713,007104,TEUSAQUILLO
-74.09596537979499,4.554313766204747,001355,LAS GUACAMAYAS I
-74.19732248945152,4.625158090818775,004594,SAN ANTONIO
-74.12009362218278,4.696542602517887,005623,LOS ANGELES
-74.02935979251104,4.692966335680175,008407,USAQUEN
-74.0992319343624,4.694005676477878,005609,TABORA
-74.071917059924,4.635020832809349,007205,PALERMO
-74.02667875086887,4.7131221475742535,008424,SEGUNDO CONTADOR
-74.12517979838164,4.535101342008117,002522,EL MOCHUELO ORIENTAL
-74.095640858625,4.596665578641042,004106,EL VERGEL
-74.06642322267297,4.629625038571057,008112,SUCRE
-74.08952852333475,4.628506328315579,006210,CENTRO NARINO
-74.08146532162854,4.630691053218845,005107,ACEVEDO TEJADA
-74.11653430538169,4.523735976833145,002525,BARRANQUILLITA
-74.07493422781519,4.642594672461577,007207,GALERIAS
-74.18446420112205,4.614213868962784,004583,ARGELIA II
-74.08012612750984,4.501771041542681,101307,TIHUAQUE RURAL
-74.13997981929884,4.55791976163967,002521,LUCERO ALTO
-74.13580811161798,4.559138734818376,002514,MEISSEN
-74.15509837705748,4.54665549533226,002587,BRISAS DEL VOLADOR
-74.09324363927959,4.561701368728891,001304,BELLO HORIZONTE
-74.16755318904077,4.5763605092864275,002444,SIERRA MORENA II
-74.1397557401527,4.546514899459854,002532,QUINTAS DEL SUR
-74.12265272996446,4.634436063262776,006509,LUSITANIA
-74.16126628315023,4.639294610948426,004554,PATIO BONITO
-74.07864614684624,4.609962639835534,006104,LA FAVORITA
-74.0989695626964,4.720866536779227,009238,SANTA TERESA DE SUBA
-74.15251373940099,4.578823638035753,002420,LA CORUNA
-74.07499559578899,4.738275446720977,009258,CASA BLANCA SUBA I
-74.05683923774772,4.631250548745126,201502,SIBERIA RURAL
-74.11461150514215,4.492646041916758,002571,ANTONIO JOSE DE SUCRE
-74.09286242322291,4.60855459521554,004101,RICAURTE
-74.1090362710568,4.566230852334849,001431,LA RESURRECCION I
-74.09587873200738,4.736417484942358,009240,POTRERILLO
-74.0996201343651,4.551202359193863,001321,SAN MARTIN SUR
-74.12793234764635,4.561613698105851,002508,TUNJUELITO
-74.16115760193277,4.6222716369701615,004508,CIUDAD KENNEDY OCCIDENTAL
-74.07671410846113,4.74325799878045,009231,SUBA CERROS
-74.05445485583378,4.727383569244289,009105,PRADO PINZON
-74.10137924902963,4.505510366777978,002609,EL BOSQUE
-74.06348964491315,4.657466113868391,007304,CONCEPCION NORTE
-74.08752384425769,4.654982467610862,005116,PABLO VI NORTE
-74.07443605227014,4.586229761247565,003211,GIRARDOT
-74.08489095710847,4.593128377325452,003201,SAN BERNARDINO
-74.1203914779167,4.578425007037211,002204,QUIROGA SUR
-74.37322226171027,3.809720152116285,109111,SAN JOSE
-74.34755767254688,3.8820413766446,109116,NUEVA GRANADA
-74.34189867431779,3.919775130727361,109110,CONCEPCION
-74.07731096236448,4.615872810070425,006103,SANTA FE
-74.18263719725087,4.600195985977466,004552,GUALOCHE
-74.17168694746171,4.618205657019917,004576,CASA BLANCA SUR
-74.07226772003793,4.797771906875833,107112,LA LOMITA
-74.09476446019251,4.589933778926849,002102,SAN ANTONIO
-74.11377197552875,4.499379813577581,002542,SERRANIAS
-74.11147104292412,4.566830881524868,001413,LA RESURRECCION
